GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,,,,,,,,,,,,,
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,,,,,,,,,,,,,
0400000US01,1,Alabama,4779736,4780131,4785492,4799918,4815960,4829479,4843214,4853875,4863300,,Alabama,4815960,,1.001121517,1.003014528,1.00334214,1.002807125,1.002843992,1.002201224,1.001941748,,1.016259143
0400000US02,2,Alaska,710231,710249,714031,722713,731089,736879,736705,737709,741894,,Alaska,731089,,1.005324893,1.012159136,1.011589663,1.007919692,0.999763869,1.001362825,1.005672969,,1.039022115
0400000US04,4,Arizona,6392017,6392301,6408312,6467163,6549634,6624617,6719993,6817565,6931071,,Arizona,6549634,,1.002504732,1.009183542,1.012752269,1.011448426,1.01439721,1.014519658,1.016649053,,1.081575148
0400000US05,5,Arkansas,2915918,2916025,2921995,2939493,2950685,2958663,2966912,2977853,2988248,,Arkansas,2950685,,1.002047308,1.005988374,1.003807459,1.002703779,1.002788084,1.003687673,1.00349077,,1.022673892
0400000US06,6,California,37253956,37254522,37332685,37676861,38011074,38335203,38680810,38993940,39250017,,California,38011074,,1.002098081,1.00921916,1.008870511,1.008527226,1.009015395,1.008095229,1.006567097,,1.051357999
0400000US08,8,Colorado,5029196,5029324,5048644,5118360,5189867,5267603,5349648,5448819,5540545,,Colorado,5189867,,1.003841471,1.013808856,1.013970686,1.014978419,1.015575395,1.018537855,1.016834107,,1.097432301
0400000US09,9,Connecticut,3574097,3574114,3579899,3589893,3593795,3596003,3591873,3584730,3576452,,Connecticut,3593795,,1.001618583,1.002791699,1.00108694,1.000614392,0.998851503,0.998011344,0.997690761,,0.999037124
0400000US10,10,Delaware,897934,897936,899816,907924,916993,925395,934948,944076,952065,,Delaware,916993,,1.00209369,1.009010731,1.009988722,1.009162556,1.010323159,1.00976311,1.008462242,,1.058066316
0400000US11,11,District of Columbia,601723,601766,605183,620477,635327,649165,659005,670377,681170,,District of Columbia,635327,,1.005678287,1.025271695,1.0239332,1.02178091,1.015157934,1.017256318,1.016099896,,1.125560368
